"PIXEL_ID","REEF_ID","REEF_NAME","LONG","LAT","COTS_1985","COTS_1986","COTS_1987","COTS_1988","COTS_1989","COTS_1990","COTS_1991","COTS_1992","COTS_1993","COTS_1994","COTS_1995","COTS_1996","COTS_1997","COTS_1998","COTS_1999","COTS_2000","COTS_2001","COTS_2002","COTS_2003","COTS_2004","COTS_2005","COTS_2006","COTS_2007","COTS_2008","COTS_2009","COTS_2010","COTS_2011","COTS_2012","COTS_2013","COTS_2014","COTS_2015","COTS_2016","COTS_2017"
14430,"21-348","Connor Islet Reef (21-348)",149.67,-21.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1.5558,NA,0.1946,NA,NA,NA,NA,NA,NA,NA
14431,"21-349a","Smythe Shoals (21-349a)",149.87,-21.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1.5435,NA,0.1571,NA,0,NA,0,NA,NA,NA
14432,"21-827","U/N Reef (21-827)",150.88,-21.72,0,0,0,NA,0.0025,0.0057,0.6915,NA,NA,0.0086,NA,NA,NA,0,0,0,0.0157,NA,0.0088,0,NA,0.0087,NA,0.3895,0,0.1132,NA,0.121,0.7193,NA,NA,0.119,0.164
14433,"21-827","U/N Reef (21-827)",150.89,-21.72,0,0,0,NA,0.0025,0.0057,0.6869,NA,NA,0.0087,NA,NA,NA,0,0,0,0.0156,NA,0.0086,0,NA,0.0086,NA,0.3859,0,0.113,NA,0.1198,0.7112,NA,NA,0.118,0.164
14434,"21-827","U/N Reef (21-827)",150.9,-21.72,0,0,0,NA,0.0025,0.0057,0.6821,NA,NA,0.0087,NA,NA,NA,0,0,0,0.0156,NA,0.0083,0,NA,0.0086,NA,0.3821,0,0.1128,NA,0.1185,0.7029,NA,NA,0.1169,0.164
14435,"21-827","U/N Reef (21-827)",150.91,-21.72,0,0,0,NA,0.0026,0.0057,0.6773,NA,NA,0.0087,NA,NA,NA,0,0,0,0.0155,NA,0.0081,0,NA,0.0085,NA,0.3782,0,0.1125,NA,0.1172,0.6945,NA,NA,0.1157,0.164
14436,"21-827","U/N Reef (21-827)",150.92,-21.72,0,0,0,NA,0.0026,0.0057,0.6724,NA,NA,0.0088,NA,NA,NA,0,0,0,0.0154,NA,0.0079,0,NA,0.0084,NA,0.3741,0,0.1123,NA,0.1158,0.6859,NA,NA,0.1145,0.164
14437,"21-827","U/N Reef (21-827)",150.93,-21.72,0,0,0,NA,0.0026,0.0056,0.6673,NA,NA,0.0088,NA,NA,NA,0,0,0,0.0153,NA,0.0077,0,NA,0.0083,NA,0.3698,0,0.1121,NA,0.1144,0.6771,NA,NA,0.1133,0.164
14438,"21-459","Heralds Prong No 2 (21-459)",151.56,-21.72,0.0083,0.029,0.0265,NA,0.1649,0.0244,0.4463,1.2364,NA,0.0283,0.1028,0.3697,0.6671,0.0591,0.5066,3.5542,2.6724,1.3239,0.0511,0.0115,NA,0.0072,0,0.0486,0,0.0042,0.0056,0.0021,0.0226,0,NA,0.035,0.1511
14439,"21-459","Heralds Prong No 2 (21-459)",151.57,-21.72,0.0083,0.0297,0.0271,NA,0.1674,0.0236,0.4482,1.2307,NA,0.0278,0.1021,0.372,0.6631,0.0611,0.5097,3.679,2.6885,1.3157,0.0528,0.0116,NA,0.0074,0,0.0479,0,0.0041,0.0056,0.0021,0.0224,0,NA,0.0352,0.1534
14440,"21-459","Heralds Prong No 2 (21-459)",151.58,-21.72,0.0082,0.0305,0.0277,NA,0.1698,0.0228,0.4502,1.2249,NA,0.0273,0.1015,0.3742,0.659,0.0633,0.5127,3.8065,2.7038,1.3074,0.0546,0.0116,NA,0.0077,0,0.0486,0,0.0043,0.0056,0,0.0216,0,NA,0.0355,0.1556
14441,"21-460","U/N Reef (21-460)",151.71,-21.72,0.0124,0.0759,0.0904,NA,0.1877,0.0215,0.4223,0.88,NA,0.0416,0.0876,0.4571,0.9469,0.1646,0.9717,6.7645,2.9137,2.4519,0.2312,0.0309,NA,0.0138,0,0.0016,0,0.0032,0.003,0.0036,0.0024,0,0.0054,0.0198,0.2304
14442,"21-460","U/N Reef (21-460)",151.72,-21.72,0.0106,0.0838,0.1418,NA,0.1806,0.0197,0.41,0.8183,NA,0.0433,0.0838,0.4561,0.9396,0.1675,0.9685,6.886,2.9084,2.4322,0.2351,0.0308,NA,0.014,0,0.0016,0,0.0032,0.003,0.0036,0.0024,0,0.0055,0.0196,0.2298
14443,"21-460","U/N Reef (21-460)",151.73,-21.72,0.0088,0.0829,0.14,NA,0.1858,0.0173,0.4104,0.8153,NA,0.045,0.0826,0.455,0.9322,0.1702,0.9649,7.0024,2.9021,2.4122,0.2388,0.0307,NA,0.0143,0,0.0017,0,0.0031,0.003,0.0037,0.0025,0,0.0057,0.0194,0.2289
14444,"21-460","U/N Reef (21-460)",151.74,-21.72,0.009,0.0894,0.1383,NA,0.1829,0.0149,0.3996,0.8123,NA,0.0466,0.0815,0.4536,0.9246,0.1728,0.961,7.1135,2.8949,2.3919,0.2423,0.0306,NA,0.0145,0,0.0017,0,0.0031,0.003,0.0038,0.0025,0,0.0059,0.0192,0.2277
14445,"21-460","U/N Reef (21-460)",151.75,-21.72,0.0074,0.0901,0.1389,NA,0.1841,0.0126,0.3998,0.809,NA,0.0482,0.0803,0.4522,0.9168,0.1752,0.9568,7.2188,2.8868,2.3712,0.2455,0.0304,NA,0.0148,0,0.0017,0,0.0031,0.003,0.0038,0.0026,0,0.0061,0.0189,0.2263
14446,"21-460","U/N Reef (21-460)",151.76,-21.72,0.0063,0.0908,0.1394,NA,0.1852,0.0109,0.3999,0.8057,NA,0.0496,0.0791,0.4505,0.9089,0.1774,0.9522,7.318,2.8779,2.35,0.2486,0.0303,NA,0.0147,0,0.0017,0,0.003,0.0027,0.0039,0.0026,0,0.0062,0.018,0.2246
